iter	Passed	Remaining
0	141	141358
1	145	72740
2	148	49495
3	152	37903
4	155	30918
5	158	26327
6	162	23059
7	166	20593
8	169	18654
9	174	17233
10	177	15930
11	180	14844
12	183	13952
13	187	13235
14	192	12664
15	196	12078
16	200	11575
17	204	11145
18	207	10707
19	210	10318
20	213	9971
21	217	9673
22	221	9420
23	224	9149
24	228	8899
25	231	8686
26	234	8458
27	237	8256
28	241	8088
29	245	7924
30	248	7768
31	251	7614
32	255	7480
33	258	7336
34	262	7225
35	266	7135
36	270	7034
37	273	6933
38	278	6861
39	281	6756
40	284	6655
41	288	6579
42	292	6511
43	296	6432
44	299	6352
45	302	6273
46	306	6224
47	311	6168
48	314	6105
49	318	6049
50	321	5987
51	324	5923
52	328	5861
53	331	5801
54	335	5766
55	339	5716
56	342	5665
57	346	5626
58	351	5599
59	354	5560
60	359	5527
61	370	5604
62	373	5556
63	376	5512
64	382	5502
65	386	5465
66	388	5413
67	389	5344
68	396	5352
69	398	5296
70	400	5238
71	402	5189
72	404	5135
73	406	5080
74	408	5039
75	411	4998
76	412	4950
77	414	4899
78	415	4849
79	417	4805
80	419	4758
81	421	4713
82	423	4680
83	428	4667
84	429	4619
85	430	4579
86	431	4532
87	433	4491
88	434	4451
89	436	4409
90	439	4387
91	440	4351
92	442	4313
93	443	4277
94	445	4240
95	446	4203
96	447	4169
97	449	4133
98	450	4100
99	451	4065
100	454	4044
101	455	4011
102	457	3988
103	459	3958
104	460	3928
105	462	3899
106	463	3869
107	464	3840
108	466	3812
109	468	3793
110	470	3767
111	471	3740
112	472	3712
113	474	3685
114	475	3659
115	476	3633
116	478	3613
117	480	3592
118	482	3573
119	484	3552
120	486	3531
121	488	3512
122	488	3485
123	489	3461
124	491	3437
125	492	3413
126	493	3390
127	493	3365
128	495	3342
129	496	3321
130	497	3302
131	499	3286
132	501	3267
133	503	3252
134	504	3234
135	506	3215
136	507	3195
137	508	3174
138	509	3156
139	511	3139
140	513	3125
141	515	3115
142	517	3102
143	519	3086
144	520	3070
145	522	3054
146	523	3039
147	525	3023
148	526	3008
149	529	2999
150	531	2986
151	532	2972
152	534	2957
153	535	2941
154	536	2925
155	537	2910
156	539	2894
157	540	2879
158	541	2863
159	543	2851
160	544	2839
161	546	2827
162	548	2817
163	549	2803
164	551	2788
165	552	2775
166	553	2762
167	555	2749
168	556	2736
